Tweet_lemmatized
"['gazzetta', 'dello', 'sport', 'ibrahimov', 'also', 'risk', 'miss', 'juventu', 'game', 'januari', 'httpstcorfinutyxbj']"
"['india', 'dismiss', 'australia', 'over', 'friday', 'take', 'firstin', 'lead', 'look', 'highli', 'unlik', 'first', 'half', 'hour', 'dramat', 'second', 'daynight', 'first', 'test', 'adelaid', 'oval', 'httpstcorfaptjpa']"
"['world', 'lightweight', 'champion', 'khabib', 'nurmagomedov', 'vote', 'sport', 'personality’', 'world', 'sport', 'star', 'year', 'httpstcootxelwjxr']"
"['light', 'trainer', 'kid', 'unisex', 'color', 'lumin', 'flash', 'charg', 'breathabl', 'sport', 'run', 'toddler', 'casual', 'shoe', 'gymnast', 'tenni', 'sneaker', 'best', 'gift', 'boy', 'girl', 'birthday', 'httpstcowzqdlxjg']"
"['huge', 'thank', 'uksport', 'dcm', 'tnluk', 'today', 'confirm', 'tokyo', 'pari', 'fund', 'read', 'httpstcoycdzyjffi']"
"['wada’', 'athlet', 'committe', 'disappoint', 'decis', 'court', 'arbitr', 'sport', 'impos', 'stricter', 'longer', 'sanction', 'russia', 'line', 'recommend', 'wada', 'find', 'httpstcowiojytdsrh', 'httpstcorrebri']"
"['icymiugli', 'sweater', 'ugli', 'sweater', 'project', 'link', 'still', 'need', 'httpstcoczftttksa', 'httpstcojgrdrsnd']"
"['column', 'time', 'thank', 'peopl', 'tribchronsport', 'httpstcosefgdyb']"
"['let', 'talk', 'period', 'theai', 'femal', 'perform', 'health', 'initi', 'aim', 'educ', 'provid', 'addit', 'research', 'break', 'commun', 'barrier', 'around', 'woman', 'health', 'elit', 'sport', 'elissamacleod', 'drrachelharri', 'brittneykleyn', 'fphi', 'httpstcoububhoau']"
"['moukoko', 'becom', 'youngest', 'bundesliga', 'scorer', 'dortmund', 'lose', 'berlin', 'httpstconrzzqzat', 'httpstconrzzqzat']"
"['wada’', 'athlet', 'committe', 'disappoint', 'decis', 'court', 'arbitr', 'sport', 'impos', 'stricter', 'longer', 'sanction', 'russia', 'line', 'recommend', 'wada', 'find', 'httpstcowiojytdsrh', 'httpstcorrebri']"
"['sure', 'good', 'sport', 'isnt', 'demand', 'multipl', 'recount', 'httpstcotirxmvlw']"
"['wada’', 'athlet', 'committe', 'disappoint', 'decis', 'court', 'arbitr', 'sport', 'impos', 'stricter', 'longer', 'sanction', 'russia', 'line', 'recommend', 'wada', 'find', 'httpstcowiojytdsrh', 'httpstcorrebri']"
"['congratul', 'utahfootbal', 'dalton', 'kincaid', 'receiv', 'utah', 'athlet', 'servic', 'award', 'sponsor', 'univers', 'bennioncent', 'award', 'honor', 'athlet', 'excel', 'sport', 'classroom', 'commun', 'httpstcoftygjynwf', 'gout', 'httpstcowyyjwgcq']"
"['turkish', 'super', 'leagu', 'broadcast', 'bein', 'sport', 'paid', 'mandatori', 'due', 'footbal', 'season', 'turkish', 'footbal', 'feder', 'said', 'friday', 'httpstcotvsohfff']"
"['le', 'afraid', 'afraid', 'valid', 'emot', 'someth', 'shouldnt', 'away', 'emili', 'harrington', 'tell', 'cnnsport', 'histor', 'capitan', 'climb', 'she’', 'learn', 'manag', 'fear', 'httpstcoxggouzuhmm', 'httpstcoftqmtwpo']"
"['cricket', 'south', 'africa', 'includ', 'dwain', 'pretoriu', 'uncap', 'raynard', 'tonder', 'lutho', 'sipamla', 'protea', 'squad', 'twomatch', 'test', 'seri', 'lanka', 'httpstcohslguvzea']"
"['congratul', 'utahfootbal', 'dalton', 'kincaid', 'receiv', 'utah', 'athlet', 'servic', 'award', 'sponsor', 'univers', 'bennioncent', 'award', 'honor', 'athlet', 'excel', 'sport', 'classroom', 'commun', 'httpstcoftygjynwf', 'gout', 'httpstcowyyjwgcq']"
"['pari', 'sport', 'fund', 'decis', 'signal', 'shift', 'toward', 'greater', 'diver', 'win', '‘the', 'right', 'way’', 'httpstcoqnmlxlysx']"
"['joey', 'votto', 'sport', 'beard', 'season', 'friday', 'list', 'httpstconzantdrjf', 'httpstconflydqt']"
"['love', 'sport', 'it’', 'realli', 'calm', 'play', 'tenni', 'it’', 'smooth', 'game', 'there’', 'method', 'love', 'it’', 'structur', 'anklam', 'said', 'httpstcodhklvneq', 'httpstcoeyfgswat']"
"['turkish', 'wrestler', 'muhammet', 'nuri', 'kotanoğlu', 'claim', 'silver', 'medal', 'men', 'freestyl', 'individu', 'world', 'friday', 'kotanoğlu', 'lost', 'russian', 'oppon', 'akhm', 'usmanov', 'final', 'httpstcokkyvdubxrv']"
"['congratul', 'utahfootbal', 'dalton', 'kincaid', 'receiv', 'utah', 'athlet', 'servic', 'award', 'sponsor', 'univers', 'bennioncent', 'award', 'honor', 'athlet', 'excel', 'sport', 'classroom', 'commun', 'httpstcoftygjynwf', 'gout', 'httpstcowyyjwgcq']"
